,site,th,species,FN,FP,below_th,total
583,Eldena,44,Nnoc,0,0,0,0
584,Eldena,44,Ppip,0,1,0,2
585,Eldena,44,Paur,16,11,3,393
586,Eldena,44,Rhin,0,0,0,0
587,Eldena,45,Bbar,0,1,0,1
588,Eldena,45,Eser,0,0,0,0
589,Eldena,45,Mbec,0,0,0,1
590,Eldena,45,Mdas,0,2,0,3
591,Eldena,45,Mdau,108,145,15,2365
592,Eldena,45,Mema,0,2,0,2
593,Eldena,45,Mmyo,12,4,1,79
594,Eldena,45,Mbra,21,1,1,46
595,Eldena,45,Mnat,240,119,110,6561
596,Eldena,45,Nnoc,0,0,0,0
597,Eldena,45,Ppip,0,1,0,2
598,Eldena,45,Paur,16,11,3,393
599,Eldena,45,Rhin,0,0,0,0
600,Eldena,46,Bbar,0,0,0,1
601,Eldena,46,Eser,0,0,0,0
602,Eldena,46,Mbec,0,0,0,1
603,Eldena,46,Mdas,0,2,0,3
604,Eldena,46,Mdau,108,142,16,2365
605,Eldena,46,Mema,0,2,0,2
606,Eldena,46,Mmyo,11,4,1,79
607,Eldena,46,Mbra,21,1,1,46
608,Eldena,46,Mnat,238,118,116,6561
609,Eldena,46,Nnoc,0,0,0,0
610,Eldena,46,Ppip,0,1,0,2
611,Eldena,46,Paur,16,10,3,393
612,Eldena,46,Rhin,0,0,0,0
613,Eldena,47,Bbar,0,0,0,1
614,Eldena,47,Eser,0,0,0,0
615,Eldena,47,Mbec,0,0,0,1
616,Eldena,47,Mdas,0,2,0,3
617,Eldena,47,Mdau,107,141,18,2365
618,Eldena,47,Mema,0,2,0,2
619,Eldena,47,Mmyo,11,4,1,79
620,Eldena,47,Mbra,21,1,1,46
621,Eldena,47,Mnat,237,116,124,6561
622,Eldena,47,Nnoc,0,0,0,0
623,Eldena,47,Ppip,0,1,0,2
624,Eldena,47,Paur,15,10,3,393
625,Eldena,47,Rhin,0,0,0,0
626,Eldena,48,Bbar,0,0,0,1
627,Eldena,48,Eser,0,0,0,0
628,Eldena,48,Mbec,0,0,0,1
629,Eldena,48,Mdas,0,2,0,3
630,Eldena,48,Mdau,106,138,20,2365
