,site,th,species,FN,FP,below_th,total
267,Comthurey_r500,20,Mema,0,0,0,0
268,Comthurey_r500,20,Mmyo,8,10,0,2269
269,Comthurey_r500,20,Mbra,0,0,0,0
270,Comthurey_r500,20,Mnat,28,9,0,3033
271,Comthurey_r500,20,Nnoc,0,0,0,0
272,Comthurey_r500,20,Ppip,0,0,0,0
273,Comthurey_r500,20,Paur,1,0,0,37
274,Comthurey_r500,20,Rhin,0,0,0,0
275,Comthurey_r500,21,Bbar,1,13,0,90
276,Comthurey_r500,21,Eser,0,0,0,0
277,Comthurey_r500,21,Mbec,0,0,0,0
278,Comthurey_r500,21,Mdas,0,0,0,0
279,Comthurey_r500,21,Mdau,13,16,0,1085
280,Comthurey_r500,21,Mema,0,0,0,0
281,Comthurey_r500,21,Mmyo,8,10,0,2269
282,Comthurey_r500,21,Mbra,0,0,0,0
283,Comthurey_r500,21,Mnat,28,9,0,3033
284,Comthurey_r500,21,Nnoc,0,0,0,0
285,Comthurey_r500,21,Ppip,0,0,0,0
286,Comthurey_r500,21,Paur,1,0,0,37
287,Comthurey_r500,21,Rhin,0,0,0,0
288,Comthurey_r500,22,Bbar,1,13,0,90
289,Comthurey_r500,22,Eser,0,0,0,0
290,Comthurey_r500,22,Mbec,0,0,0,0
291,Comthurey_r500,22,Mdas,0,0,0,0
292,Comthurey_r500,22,Mdau,13,16,0,1085
293,Comthurey_r500,22,Mema,0,0,0,0
294,Comthurey_r500,22,Mmyo,8,10,0,2269
295,Comthurey_r500,22,Mbra,0,0,0,0
296,Comthurey_r500,22,Mnat,28,9,0,3033
297,Comthurey_r500,22,Nnoc,0,0,0,0
298,Comthurey_r500,22,Ppip,0,0,0,0
299,Comthurey_r500,22,Paur,1,0,0,37
300,Comthurey_r500,22,Rhin,0,0,0,0
301,Comthurey_r500,23,Bbar,1,13,0,90
302,Comthurey_r500,23,Eser,0,0,0,0
303,Comthurey_r500,23,Mbec,0,0,0,0
304,Comthurey_r500,23,Mdas,0,0,0,0
305,Comthurey_r500,23,Mdau,13,16,0,1085
306,Comthurey_r500,23,Mema,0,0,0,0
307,Comthurey_r500,23,Mmyo,8,10,0,2269
308,Comthurey_r500,23,Mbra,0,0,0,0
309,Comthurey_r500,23,Mnat,28,9,0,3033
310,Comthurey_r500,23,Nnoc,0,0,0,0
311,Comthurey_r500,23,Ppip,0,0,0,0
312,Comthurey_r500,23,Paur,1,0,0,37
313,Comthurey_r500,23,Rhin,0,0,0,0
314,Comthurey_r500,24,Bbar,1,13,0,90
315,Comthurey_r500,24,Eser,0,0,0,0
316,Comthurey_r500,24,Mbec,0,0,0,0
317,Comthurey_r500,24,Mdas,0,0,0,0
318,Comthurey_r500,24,Mdau,13,16,0,1085
319,Comthurey_r500,24,Mema,0,0,0,0
320,Comthurey_r500,24,Mmyo,8,10,0,2269
321,Comthurey_r500,24,Mbra,0,0,0,0
322,Comthurey_r500,24,Mnat,28,9,0,3033
323,Comthurey_r500,24,Nnoc,0,0,0,0
324,Comthurey_r500,24,Ppip,0,0,0,0
325,Comthurey_r500,24,Paur,1,0,0,37
326,Comthurey_r500,24,Rhin,0,0,0,0
327,Comthurey_r500,25,Bbar,1,13,0,90
328,Comthurey_r500,25,Eser,0,0,0,0
329,Comthurey_r500,25,Mbec,0,0,0,0
330,Comthurey_r500,25,Mdas,0,0,0,0
331,Comthurey_r500,25,Mdau,13,16,0,1085
332,Comthurey_r500,25,Mema,0,0,0,0
333,Comthurey_r500,25,Mmyo,8,10,0,2269
334,Comthurey_r500,25,Mbra,0,0,0,0
335,Comthurey_r500,25,Mnat,28,9,0,3033
336,Comthurey_r500,25,Nnoc,0,0,0,0
337,Comthurey_r500,25,Ppip,0,0,0,0
338,Comthurey_r500,25,Paur,1,0,0,37
339,Comthurey_r500,25,Rhin,0,0,0,0
340,Comthurey_r500,26,Bbar,1,13,0,90
341,Comthurey_r500,26,Eser,0,0,0,0
342,Comthurey_r500,26,Mbec,0,0,0,0
343,Comthurey_r500,26,Mdas,0,0,0,0
344,Comthurey_r500,26,Mdau,13,16,0,1085
345,Comthurey_r500,26,Mema,0,0,0,0
346,Comthurey_r500,26,Mmyo,8,10,0,2269
